Codigo,Familia,Genero,Especie ,Nombre completo ,100_A.,100_B.,102_B.,201_A.,201_B.,201_C.,204_A.,207_A.,230_A.,231_A.,232_A.,232_B.,234_A.,301_B.,301_C.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,332_B.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
FC_0001,Arecaceae,Acrocomia,aculeata,Acrocomia aculeata,unisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,spiral,two (2),trimerous,trimerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),trimerous,trimerous,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
FC_0002,Fabaceae,Pseudalbizzia,tomentosa,Pseudalbizzia tomentosa,bisexual,bisexual,,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,,whorled,more than two (>2),N/A,N/A,whorled,,,,present,glandular,
FC_0003,Fabaceae,Pseudalbizzia,tomentosa,Pseudalbizzia tomentosa,bisexual,bisexual,,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,,whorled,more than two (>2),N/A,N/A,whorled,,,,present,glandular,
FC_0004,Euphorbiaceae,Alchornea,latifolia,Alchornea latifolia,unisexual,unisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,six to ten (6-10),more than six (>6),typical (narrow),,basifixed,,whorled,one (1),tetramerous,tetramerous,whorled,one (1),fused (>5%),one (1),absent,N/A,N/A
FC_0005,Cannabaceae,Ampelocera,hottlei,Ampelocera hottlei,unisexual,bisexual,,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,,more than six (>6),typical (narrow),,basifixed,,whorled,,,,,,fused (>5%),,absent,N/A,N/A
FC_0006,Fabaceae,Andira,galeottiana,Andira galeottiana,bisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),free (<5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),latrorse,,,whorled,one (1),N/A,N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0007,Malvaceae,Apeiba,tibourbou,Apeiba tibourbou,bisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,1,one (1),pentamerous,pentamerous,whorled,more than five (>5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0008,Cannabaceae,Aphananthe,monoica,Aphananthe monoica,unisexual,unisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),pentamerous,pentamerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),,dorsifixed,longitudinal slit,whorled,,pentamerous,pentamerous,whorled,one (1),N/A,,absent,N/A,N/A
FC_0009,Apocynaceae,Aspidosperma,megalocarpon,Aspidosperma megalocarpon,unisexual,unisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,two (2),fused (>5%),,absent,N/A,N/A
FC_0010,Arecaceae,Attalea,butyracea,Attalea butyracea,unisexual,unisexual,,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,,one (1),trimerous,trimerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),,,,,,trimerous,trimerous,whorled,three (3),fused (>5%),,absent,N/A,N/A
