Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
Arecaceae,Acrocomia,aculeata,Acrocomia aculeata,Acrocomia aculeata,unisexual,bisexual,Superior,present,one to five (1-5),fused (>5%),actinomorphic,spiral,two (2),trimerous,differentiated,0,3,3,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),trimerous,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
Cannabaceae,Ampelocera,hottlei,Ampelocera hottlei,Ampelocera hottlei,unisexual,bisexual,,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,0,0,5,,typical (narrow),,basifixed,,whorled,,,,,fused (>5%),,absent,N/A,N/A
Bignoniaceae ,Amphilophium,paniculatum,Amphilophium paniculatum,Amphilophium paniculatum,bisexual,bisexual,Superior,present,more than ten (>10),fused (>5%),zygomorphic,whorled,more than two (>2),pentamerous,differentiated,,,,one to five (1-5),typical (narrow),extrorse,dorsifixed,H-valvate,whorled,one (1),tetramerous,whorled,two (2),fused (>5%),three or more (>2),present,discoidal,
Fabaceae,Andira,galeottiana,Andira galeottiana,Andira galeottiana,bisexual,bisexual,superior,present,one to five (1-5),free (<5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),latrorse,,,whorled,one (1),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
Euphorbiaceae,Alchornea,latifolia,Aparisthmium cordatum,Aparisthmium cordatum,unisexual,unisexual,Superior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,0,0,six to ten (6-10),typical (narrow),,basifixed,,whorled,one (1),tetramerous,whorled,one (1),fused (>5%),one (1),absent,N/A,N/A
Malvaceae,Apeiba,tibourbou,Apeiba tibourbou,Apeiba tibourbou,bisexual,bisexual,Superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,dorsifixed,longitudinal slit,1,one (1),pentamerous,whorled,more than five (>5),fused (>5%),three or more (>2),absent,N/A,N/A
Cannabaceae,Aphananthe,monoica,Aphananthe monoica,Aphananthe monoica,unisexual,unisexual,Superior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,5,0,0,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,whorled,,pentamerous,whorled,one (1),N/A,,absent,N/A,N/A
Apocynaceae,Aspidosperma,megalocarpon,Aspidosperma megalocarpon,Aspidosperma megalocarpon,unisexual,unisexual,Superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,2,5,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),fused (>5%),,absent,N/A,N/A
Anacardiaceae,Astronium,graveolens,Astronium graveolens,Astronium graveolens,unisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,three (3),fused (>5%),one (1),present,discoidal,intraestaminal
Anacardiaceae,Astronium,graveolens,Astronium graveolens,Astronium graveolens,unisexual,bisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,N/A,N/A,N/A,N/A,present,discoidal,intraestaminal
