Numero,Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
1,Acanthaceae,Ruellia,inundata,Ruellia inundata,Ruellia inundata,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,3,3,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),dimerous,whorled,two (2),fused (>5%),three or more (>2),present,discoidal,intraestaminal
2,Acanthaceae,Ruellia,jussieuoides,Ruellia jussieuoides,Ruellia jussieuoides,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),dimerous,whorled,two (2),fused (>5%),three or more (>2),present,discoidal,intraestaminal
3,Acanthaceae ,Avicennia,germinans,Avicennia germinans,Avicennia germinans,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,4,4,one to five (1-5),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),tetramerous,whorled,one (1),N/A,three or more (>2),present,,
4,Acanthaceae ,Avicennia,germinans,Avicennia germinans,Avicennia germinans,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,4,one to five (1-5),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),tetramerous,whorled,one (1),N/A,three or more (>2),present,,
5,Acanthaceae ,Avicennia,germinans,Avicennia germinans,Avicennia germinans,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,6,4,one to five (1-5),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),tetramerous,whorled,one (1),N/A,three or more (>2),present,,
6,Actinidiaceae,Saurauia,scabrida,Saurauia scabrida,Saurauia scabrida,unisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
7,Actinidiaceae,Saurauia,scabrida,Saurauia scabrida,Saurauia scabrida,unisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,4,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
8,Actinidiaceae,Saurauia,scabrida,Saurauia scabrida,Saurauia scabrida,unisexual,unisexual,N/A,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,4,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
9,Actinidiaceae,Saurauia,yasicae,Saurauia yasicae,Saurauia yasicae,bisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,more than ten (>10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
10,Actinidiaceae,Saurauia,scabrida,Schizolobium parahyba,Schizolobium parahyba,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,one (1),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
11,Altingiaceae,Liquidambar,styraciflua,Liquidambar styraciflua,Liquidambar styraciflua,unisexual,bisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,more than ten (>10),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,whorled,two (2),,one (1),absent,N/A,N/A
12,Altingiaceae,Liquidambar,styraciflua,Liquidambar styraciflua,Liquidambar styraciflua,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,one (1),tetramerous,differentiated,0,4,0,one to five (1-5),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
13,Anacardiaceae,Astronium,graveolens,Astronium graveolens,Astronium graveolens,unisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,three (3),fused (>5%),one (1),present,discoidal,intraestaminal
14,Anacardiaceae,Astronium,graveolens,Astronium graveolens,Astronium graveolens,unisexual,bisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,N/A,N/A,N/A,N/A,present,discoidal,intraestaminal
15,Anacardiaceae,Mosquitoxylum,jamaicense,Mosquitoxylum jamaicense,Mosquitoxylum jamaicense,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
16,Anacardiaceae,Spondias,mombin,Spondias mombin,Spondias mombin,unisexual,unisexual,Superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),pentamerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
17,Anacardiaceae,Spondias,mombin,Spondias mombin,Spondias mombin,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
18,Anacardiaceae,Spondias,mombin,Spondias mombin,Spondias mombin,unisexual,unisexual,Superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),pentamerous,differentiated,0,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
19,Anacardiaceae,Spondias,mombin,Spondias mombin,Spondias mombin,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,6,6,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
20,Anacardiaceae,Spondias,radlkoferi,Spondias radlkoferi,Spondias radlkoferi,unisexual,unisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,intraestaminal
21,Anacardiaceae,Spondias,radlkoferi,Spondias radlkoferi,Spondias radlkoferi,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,four or five (4-5),fused (>5%),N/A,present,discoidal,intraestaminal
22,Anacardiaceae,Tapirira,mexicana,Tapirira mexicana,Tapirira mexicana,unisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
23,Anacardiaceae,Tapirira,mexicana,Tapirira mexicana,Tapirira mexicana,unisexual,bisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,4,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,three (3),fused (>5%),N/A,absent,N/A,N/A
24,Anacardiaceae,Tapirira,mexicana,Tapirira mexicana,Tapirira mexicana,unisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,5,4,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,three (3),fused (>5%),one (1),absent,N/A,N/A
25,Anacardiaceae,Tapirira,mexicana,Tapirira mexicana,Tapirira mexicana,unisexual,bisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),tetramerous,differentiated,0,4,4,six to ten (6-10),typical (narrow),introrse,,longitudinal slit,whorled,two (2),N/A,whorled,three (3),fused (>5%),N/A,absent,N/A,N/A
26,Annonaceae,Guatteria,grandiflora,Guatteria grandiflora,Guatteria grandiflora,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,more than two (>2),trimerous,differentiated,0,3,6,more than ten (>10),laminar (wide),extrorse,,longitudinal slit,spiral,N/A,N/A,spiral,more than five (>5),free (<5%),one (1),absent,N/A,N/A
27,Apocynaceae,Aspidosperma,megalocarpon,Aspidosperma megalocarpon,Aspidosperma megalocarpon,unisexual,unisexual,Superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,2,5,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),fused (>5%),,absent,N/A,N/A
28,Apocynaceae,Prestonia,longifolia,Prestonia longifolia,Prestonia longifolia,bisexual,bisexual,Superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),N/A,differentiated,0,5,5,one to five (1-5),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),free (<5%),three or more (>2),present,,intraestaminal
29,Apocynaceae,Prestonia,mexicana,Prestonia mexicana,Prestonia mexicana,bisexual,bisexual,Superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),free (<5%),three or more (>2),present,glandular,intraestaminal
30,Apocynaceae,Prestonia,speciosa,Prestonia speciosa,Prestonia speciosa,bisexual,bisexual,Superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),N/A,differentiated,0,5,5,one to five (1-5),,,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),free (<5%),three or more (>2),present,,intraestaminal
31,Apocynaceae,Tabernaemontana,donnell-smithii,Tabernaemontana donnell-smithii,Tabernaemontana donnell-smithii,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),N/A,,basifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),free (<5%),three or more (>2),present,,
